,Mobile devices,,,All devices,,,Mobile devices,,,All devices,,
Report Date,Stuff UB,NZH UB,Stuff - NZH UB,Stuff UB,NZH UB,Stuff - NZH UB,Stuff PI,NZH PI,Stuff - NZH PI,Stuff PI,NZH PI,Stuff - NZH PI
26-May-19,734592,634205,100387,951243,834349,116894,2609028,1527371,1081657,4602258,2414979,2187279
27-May-19,783200,607119,176081,1019830,844317,175513,2843846,1544706,1299140,4960953,2469254,2491699
28-May-19,817980,679812,138168,1067932,942180,125752,2811053,1495137,1315916,6176617,3045206,3131411
29-May-19,807459,661912,145547,1039946,880074,159872,2899687,1667831,1231856,6328100,3225660,3102440
30-May-19,770515,610248,160267,968355,823514,144841,2936677,1531867,1404810,6285468,2944310,3341158
31-May-19,784030,640280,143750,976654,850999,125655,2801418,1490157,1311261,6220995,3006796,3214199
1-Jun-19,868406,649303,219103,1072459,817116,255343,2787210,1613621,1173589,5885397,3059894,2825503
2-Jun-19,838030,638428,199602,1071493,842921,228572,3114703,1639423,1475280,5391771,2614613,2777158
3-Jun-19,774523,694913,79610,1001633,943604,58029,3117752,1605516,1512236,5314964,2519939,2795025
4-Jun-19,770150,673405,96745,1001491,898768,102723,2940853,1695833,1245020,5185402,2702894,2482508
5-Jun-19,792652,697943,94709,1045311,932247,113064,2825243,1605628,1219615,6206437,3092502,3113935
6-Jun-19,793167,689986,103181,1030071,913172,116899,2924740,1695793,1228947,6430584,3292892,3137692
7-Jun-19,790084,684918,105166,980746,921938,58808,2920637,1711401,1209236,6255869,3234484,3021385
8-Jun-19,782283,697600,84683,963260,913938,49322,2892946,1713965,1178981,6180578,3199497,2981081
9-Jun-19,795417,691343,104074,1077754,903190,174564,2816076,1764726,1051350,4929237,2808803,2120434
10-Jun-19,733999,653206,80793,1038765,913844,124921,2967605,1677806,1289799,5213989,2644674,2569315
11-Jun-19,770988,622976,148012,1000533,894081,106452,2678252,1600765,1077487,5973110,3103433,2869677
12-Jun-19,874267,658966,215301,1094435,875045,219390,2692129,1494644,1197485,5934337,2897497,3036840
13-Jun-19,844285,696480,147805,1065741,935282,130459,2884008,1569525,1314483,6148892,2992442,3156450
14-Jun-19,868266,724334,143932,1094312,968717,125595,2870883,1604905,1265978,6131694,3003120,3128574
15-Jun-19,872205,631714,240491,1099339,851379,247960,2860820,1695391,1165429,5954305,3057760,2896545
16-Jun-19,904988,744134,160854,1190086,1001991,188095,3117739,1568092,1549647,5408510,2515453,2893057
17-Jun-19,763080,618017,145063,1011086,846383,164703,3139780,1756398,1383382,5392214,2727101,2665113
18-Jun-19,749246,603645,145601,968351,830088,138263,2646267,1471197,1175070,5863811,2941641,2922170
19-Jun-19,853710,672268,181442,1094202,903418,190784,2700937,1471162,1229775,5913613,2918416,2995197
20-Jun-19,840516,708489,132027,1087591,925905,161686,2890554,1599740,1290814,6110826,3053184,3057642
21-Jun-19,840136,657819,182317,1079678,893693,185985,2824725,1670227,1154498,6030536,3128794,2901742
22-Jun-19,819402,626891,192511,1055418,877128,178290,2827440,1583839,1243601,5892817,2961725,2931092
23-Jun-19,821964,648321,173643,1043206,902581,140625,2989416,1586748,1402668,5134003,2516265,2617738
24-Jun-19,839160,652564,186596,1161014,986388,174626,3065254,1715734,1349520,5295811,2710890,2584921
25-Jun-19,802327,611827,190500,1045915,841244,204671,3010934,1593535,1417399,6536311,3101269,3435042
26-Jun-19,727317,605400,121917,950581,842886,107695,2849878,1538021,1311857,6178956,3017451,3161505
27-Jun-19,765754,641402,124352,970988,891625,79363,2596098,1481182,1114916,5676296,2852477,2823819
28-Jun-19,730519,584924,145595,914746,821264,93482,2704833,1574503,1130330,5804954,2989517,2815437
29-Jun-19,748797,623457,125340,937650,850122,87528,2615353,1441868,1173485,5559201,2754760,2804441
30-Jun-19,825859,597717,228142,1041513,910510,131003,2759355,1478776,1280579,4722543,2310970,2411573
1-Jul-19,781303,589995,191308,1013319,875549,137770,2933376,1483778,1449598,4978962,2337843,2641119
2-Jul-19,845851,607219,238632,1088079,815143,272936,2735558,1475574,1259984,5926917,2935345,2991572
3-Jul-19,854546,683864,170682,1073031,922572,150459,2935683,1498707,1436976,6300818,2933706,3367112
4-Jul-19,835076,675709,159367,1074001,919375,154626,2937563,1657201,1280362,6276087,3148600,3127487
5-Jul-19,829264,627159,202105,1055387,838787,216600,2899728,1695603,1204125,6150378,3248930,2901448
6-Jul-19,834048,631281,202767,1045440,874964,170476,2921656,1557360,1364296,6137372,2970518,3166854
7-Jul-19,810568,658479,152089,1111055,914816,196239,3043182,1654360,1388822,5184738,2613758,2570980
8-Jul-19,862048,660127,201921,1352305,991627,360678,3035043,1655464,1379579,5211587,2570502,2641085
9-Jul-19,753483,612839,140644,1034131,844969,189162,2992822,1625007,1367815,6256457,3069920,3186537
10-Jul-19,843668,636551,207117,1122817,940760,182057,2767943,1501779,1266164,5865341,2858447,3006894
11-Jul-19,837252,672469,164783,1086074,942273,143801,3185579,1670681,1514898,6518603,3113432,3405171
12-Jul-19,802978,636656,166322,1021442,1105416,-83974,3010194,1692628,1317566,6202221,3176886,3025335
13-Jul-19,752568,573062,179506,964106,922812,41294,3008562,1541601,1466961,6233190,2882150,3351040
14-Jul-19,874723,685279,189444,1134102,966421,167681,2928438,1493827,1434611,5054748,2394342,2660406
15-Jul-19,885789,753927,131862,1238167,1147501,90666,3392273,1765128,1627145,5853856,2781802,3072054
16-Jul-19,798029,618983,179046,1087475,954011,133464,3421389,1966464,1454925,6865326,3552231,3313095
17-Jul-19,807280,655216,152064,1041723,946176,95547,2841736,1532647,1309089,6114641,2991263,3123378
18-Jul-19,735296,650582,84714,993250,1051424,-58174,2702820,1590644,1112176,5778309,3019331,2758978
19-Jul-19,958554,605669,352885,1248738,878644,370094,2629748,1574335,1055413,5683077,2948772,2734305
20-Jul-19,834888,642214,192674,1112864,927192,185672,3318692,1540353,1778339,6813817,2946164,3867653
21-Jul-19,881198,685022,196176,1172897,973009,199888,3079379,1687576,1391803,5281762,2691552,2590210
22-Jul-19,838667,658953,179714,1171918,983440,188478,3177393,1776209,1401184,5401923,2779316,2622607
23-Jul-19,772585,686747,85838,1034949,965742,69207,3143720,1677217,1466503,6789125,3244009,3545116
24-Jul-19,805756,618988,186768,1034694,896696,137998,2799609,1683164,1116445,6138822,3179624,2959198
25-Jul-19,824800,677397,147403,1090786,934070,156716,2767421,1513013,1254408,6002938,2944965,3057973
26-Jul-19,770424,597193,173231,1002227,840578,161649,2813223,1613029,1200194,6064494,3054807,3009687
27-Jul-19,836217,656670,179547,1101650,892424,209226,2694082,1454733,1239349,5744304,2784047,2960257
28-Jul-19,840260,589943,250317,1114227,826560,287667,2989279,1660505,1328774,5044241,2598877,2445364
29-Jul-19,830930,657120,173810,1112185,891021,221164,3082598,1538109,1544489,5268886,2465030,2803856
30-Jul-19,813141,648536,164605,1058002,901723,156279,2993249,1608190,1385059,6569639,3161868,3407771
31-Jul-19,816367,637104,179263,1043733,882782,160951,2820034,1620657,1199377,6200591,3135958,3064633
1-Aug-19,800064,647582,152482,1008820,895198,113622,2842587,1577802,1264785,6208759,3045586,3163173
2-Aug-19,793217,588924,204293,997059,803905,193154,2708440,1567169,1141271,5902982,3014346,2888636
3-Aug-19,807206,591961,215245,1027266,808573,218693,2853898,1497352,1356546,6107855,2848915,3258940
4-Aug-19,851870,635628,216242,1094203,842877,251326,2915222,1565907,1349315,5026179,2524543,2501636
5-Aug-19,806331,665147,141184,1073100,941736,131364,3209737,1658470,1551267,5542886,2680503,2862383
6-Aug-19,815659,763828,51831,1057411,1103806,-46395,2873566,1712894,1160672,6263836,3332887,2930949
7-Aug-19,810931,698827,112104,1048660,981842,66818,2743907,1785739,958168,5943301,3364443,2578858
